id,SEQ.,Usina,size,Number,Tipo,Delivery date,Leilao,Potencia,"Garantia
Física (MWmédio)",Lotes Vendidos,Preço (R$/MW),Localização,Fonte,Mod.,Invest. Previsto  (R$),empresa_consorcio,Year,price_US$,inv_US$,GDP growth,Risk (EMBI+),Gross capital formation (% of GDP),FDI (% of GDP),Primary energy consumption (exajoules),G,exch,inv US$ billion
1,1,UHE Foz do Rio Claro,0.091,11,A-5,2010,Leilão 2/2005,68.4,41,41,108.04,Caçú e São Simão / GO,Água,PIE,"281,032,620.00",Alusa Engenharia Ltda,2005,46.17291337,120104543,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.120104543
2,2,UHE São José,0.091,11,A-5,2010,Leilão 2/2005,51,30.4,30,115.8,Salvador das Missões e Rolador / RS,Água,PIE,"208,985,970.00",Alusa Engenharia Ltda,2005,49.48929441,89314060,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.08931406
3,3,UHE Passo São João,0.091,11,A-5,2010,Leilão 2/2005,77,39,37,112.55,Dezesseis de Novembro e Roque Gonzales / RS,Água,PIE,"267,595,880.00",Eletrosul S.A.,2005,48.10034617,114362101,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.114362101
4,4,UHE Simplício,0.091,11,A-5,2010,Leilão 2/2005,337.7,191.3,185,115.38,Sapucaia e Três Rios / RJ ,Água,PIE,"1,441,505,800.00","Furnas
Centrais Elétricas S.A.",2005,49.30979956,616054447,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.616054447
5,5,UHE Retiro Baixo,0.091,11,A-5,2010,Leilão 2/2005,82,38.5,36,114.86,Curvelo e Pompeu / MG,Água,PIE,"262,417,880.00",Orteng Equipamentos e Sistemas Ltda.,2005,49.08756784,112149186,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.112149186
6,6,UHE Baguari,0.091,11,A-5,2010,Leilão 2/2005,140,80.2,77,115.1,"Fernades Tourinho, Governador Valadares, Periquito, Sobrália, Iapú e Alpercata / MG",Água,PIE,"487,516,620.00","Cemig Geração e Transmissão S.A. (34%), Furnas Centrais Elétricas S.A. (15%) e Neoenergia S.A.
(51%), que compõem o Consórcio Baguari",2005,49.19013633,208349340,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.20834934
7,7,UTE Candiota III,0.091,11,A-5,2010,Leilão 2/2005,350,303.5,292,124.67,Candiota / RS,Carvão Mineral,PIE,"986,900,000.00",Companhia de Geração Térmica de Energia Elétrica - CGTEE,2005,53.2800547,421770161,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.421770161
8,8,UTE Costa Pinto (Ampliação),0.091,11,A-5,2010,Leilão 2/2005,56.14,22,19,138.99,Piracicaba / SP,bagaco,AP,"158,641,610.00",Cosan S.A. Bioenergia,2005,59.39997436,67798457,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.067798457
9,9,UTE Interlagos,0.091,11,A-5,2010,Leilão 2/2005,40,20.7,8,114.96,Pereira Barreto / SP,bagaco,PIE,"68,370,110.00",Usina Interlagos Ltda.,2005,49.13030471,29219244,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.029219244
10,10,UTE Quirinópolis,0.091,11,A-5,2010,Leilão 2/2005,40,11.6,6,104,Quirinópolis / GO,bagaco,PIE,"78,800,000.00",U.S.J. Açúcar e Álcool S.A.,2005,44.44634386,33676653,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.033676653
