,id,plant,size,number,auction,capacity,physical_guarantee,sold_lots,source,company_consortium,year,price_US$,inv_US$,gdp_growth,risk_embi,gkf,fdi,primary_energy_consumption,g,exch,inv_US$_billion,state,inv_size,physical_guarantee_size,distance_from_last_auction
0,1,UHE Foz do Rio Claro,0.091,11,Leilão 2/2005,68.4,41,41,hydro,Alusa Engenharia Ltda,2005,46.17291337,120104543,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.120104543,GO,10918594.82,3.727272727,0.798004988
1,2,UHE São José,0.091,11,Leilão 2/2005,51,30.4,30,hydro,Alusa Engenharia Ltda,2005,49.48929441,89314060,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.08931406,RS,8119460,2.763636364,0.798004988
2,3,UHE Passo São João,0.091,11,Leilão 2/2005,77,39,37,hydro,Eletrosul S.A.,2005,48.10034617,114362101,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.114362101,RS,10396554.64,3.545454545,0.798004988
3,4,UHE Simplício,0.091,11,Leilão 2/2005,337.7,191.3,185,hydro,"Furnas
Centrais Elétricas S.A.",2005,49.30979956,616054447,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.616054447,RJ,56004949.73,17.39090909,0.798004988
4,5,UHE Retiro Baixo,0.091,11,Leilão 2/2005,82,38.5,36,hydro,Orteng Equipamentos e Sistemas Ltda.,2005,49.08756784,112149186,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.112149186,MG,10195380.55,3.5,0.798004988
5,6,UHE Baguari,0.091,11,Leilão 2/2005,140,80.2,77,hydro,"Cemig Geração e Transmissão S.A. (34%), Furnas Centrais Elétricas S.A. (15%) e Neoenergia S.A.
(51%), que compõem o Consórcio Baguari",2005,49.19013633,208349340,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.20834934,MG,18940849.09,7.290909091,0.798004988
6,7,UTE Candiota III,0.091,11,Leilão 2/2005,350,303.5,292,coal,Companhia de Geração Térmica de Energia Elétrica - CGTEE,2005,53.2800547,421770161,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.421770161,RS,38342741.91,27.59090909,0.798004988
7,8,UTE Costa Pinto (Ampliação),0.091,11,Leilão 2/2005,56.14,22,19,sugar cane bagasse,Cosan S.A. Bioenergia,2005,59.39997436,67798457,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.067798457,SP,6163496.091,2,0.798004988
8,9,UTE Interlagos,0.091,11,Leilão 2/2005,40,20.7,8,sugar cane bagasse,Usina Interlagos Ltda.,2005,49.13030471,29219244,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.029219244,SP,2656294.909,1.881818182,0.798004988
9,10,UTE Quirinópolis,0.091,11,Leilão 2/2005,40,11.6,6,sugar cane bagasse,U.S.J. Açúcar e Álcool S.A.,2005,44.44634386,33676653,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.033676653,GO,3061513.909,1.054545455,0.798004988
10,11,UTE Goiânia II,0.091,11,Leilão 2/2005,140,65.3,65,diesel oil,"Petrobrás
Distribuidora S.A. (10%) e Benco Engenharia Ltda. (90%), que compõem o Consórcio BR Benco",2005,59.37860592,99191525,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.099191525,GO,9017411.364,5.936363636,0.798004988
11,12,UHE Dardanelos,0.111,9,Leilão 4/2006,261,154.9,147,hydro,"Companhia Hidro Elétrica do São Francisco - CHESF (24,5%), Centrais Elétricas do Norte do Brasil S.A. - ELETRONORTE (24,5%), Neoenergia S.A. (46%), Construtora Norberto Odebrecht (5%), que compõem o Consórcio Aripuanã",2006,52.72318922,268638326,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.268638326,MT,29848702.89,17.21111111,0.74775673
12,13,UHE Mauá,0.111,9,Leilão 4/2006,361,197.7,192,hydro,"Copel Geração S.A. (51%) e Eletrosul Centrais Elétricas S.A. (49%), que compõem o Consórcio Cruzeiro do Sul",2006,52.85420176,413086992,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.413086992,PR,45898554.67,21.96666667,0.74775673
13,14,UTE Quatá (Ampliação),0.111,9,Leilão 4/2006,60,10.5,10,sugar cane bagasse,Açucareira Quatá S.A.,2006,64.1025641,51021898,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.051021898,SP,5669099.778,1.166666667,0.74775673
14,15,UTE Usina Bonfim,0.111,9,Leilão 4/2006,59,23.4,21,sugar cane bagasse,Corona Bioenergia S.A.,2006,64.38330526,54342130,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.05434213,SP,6038014.444,2.6,0.74775673
15,16,UTE Ferrari,0.111,9,Leilão 4/2006,31,8.2,8,sugar cane bagasse,Ferrari Agorindústria Ltda,2006,64.57046603,35942354,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.035942354,SP,3993594.889,0.911111111,0.74775673
16,17,UTE Boa Vista,0.111,9,Leilão 4/2006,80,36.2,11,sugar cane bagasse,Usina Boa Vista S.A.,2006,63.16208123,71869736,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.071869736,GO,7985526.222,4.022222222,0.74775673
